verse,label
Consistency is more important than short bursts of motivation. (78) (806) (96) (47),0
Your mindset decides your limits. (634),0
"Greatness is trained daily, not born overnight. (814) (223) (680)",0
Clear goals make hard work easier. (472) (651) (800),0
"Greatness is trained daily, not born overnight. (990)",0
Consistency is more important than short bursts of motivation. (78) (806) (541) (248),0
Clear goals make hard work easier. (346),0
"Success is the result of preparation, hard work, and learning from failure. (826)",0
Learning never exhausts the mind. (478) (66) (120),0
"Greatness is trained daily, not born overnight. (814) (329)",0
Clear goals make hard work easier. (472) (834),0
Learning never exhausts the mind. (246),0
Clear goals make hard work easier. (472) (651) (800) (934),0
Learning never exhausts the mind. (880),0
Action turns ideas into reality. (364) (429),0
Consistency is more important than short bursts of motivation. (635) (607),0
Your mindset decides your limits. (584),0
"Focus on progress, not perfection. (139) (236)",0
Action turns ideas into reality. (364) (429) (542),0
"Success is the result of preparation, hard work, and learning from failure. (153)",0
Clear goals make hard work easier. (472) (834) (407),0
Consistency is more important than short bursts of motivation. (635) (878) (964),0
"Greatness is trained daily, not born overnight. (990) (848)",0
Clear goals make hard work easier. (346) (682),0
"Greatness is trained daily, not born overnight. (814) (329) (767)",0
Learning never exhausts the mind. (880) (728),0
Great ideas come from deep focus and persistence. (943),0
Clear goals make hard work easier. (940),0
Consistency is more important than short bursts of motivation. (635) (878) (964) (330),0
Action turns ideas into reality. (364) (429) (542) (13),0
"Greatness is trained daily, not born overnight. (814) (467)",0
Your mindset decides your limits. (634) (553),0
Consistency is more important than short bursts of motivation. (78) (806) (96) (126),0
Learning never exhausts the mind. (880) (932),0
"Focus on progress, not perfection. (139) (813)",0
Learning never exhausts the mind. (643),0
Dreams work only when you do. (595),0
Action turns ideas into reality. (364) (429) (22),0
Dreams work only when you do. (996) (480) (93),0
Dreams work only when you do. (996) (887) (114),0
Learning never exhausts the mind. (478) (66) (281),0
Action turns ideas into reality. (364) (951),0
Patience and effort build real success. (184),0
"Focus on progress, not perfection. (139) (474) (752) (349)",0
Learning never exhausts the mind. (880) (932) (839),0
Hard work creates opportunities that luck cannot. (835) (820),0
Learning never exhausts the mind. (246) (532),0
Patience and effort build real success. (134) (742) (734) (143),0
Clear goals make hard work easier. (940) (33),0
"Focus on progress, not perfection. (945) (565)",0
Learning never exhausts the mind. (473),0
Patience and effort build real success. (184) (713),0
Action turns ideas into reality. (364) (951) (562),0
Consistency is more important than short bursts of motivation. (485),0
"Greatness is trained daily, not born overnight. (814) (329) (56)",0
"Focus on progress, not perfection. (608)",0
"Greatness is trained daily, not born overnight. (814) (329) (56) (476)",0
Consistency is more important than short bursts of motivation. (635) (607) (781),0
"Focus on progress, not perfection. (139) (206)",0
Consistency is more important than short bursts of motivation. (635) (607) (781) (309),0
Clear goals make hard work easier. (472) (651) (827) (136),0
Action turns ideas into reality. (364) (476),0
Clear goals make hard work easier. (472) (651) (800) (627),0
"Focus on progress, not perfection. (945) (672)",0
Patience and effort build real success. (181),0
Action turns ideas into reality. (364) (429) (542) (13) (554),0
Patience and effort build real success. (134) (742) (734) (352),0
"Focus on progress, not perfection. (945) (144)",0
"Greatness is trained daily, not born overnight. (990) (848) (186)",0
"Focus on progress, not perfection. (139) (813) (749)",0
Action turns ideas into reality. (364) (951) (30),0
Clear goals make hard work easier. (472) (651) (827) (136) (769),0
Clear goals make hard work easier. (472) (651) (827) (136) (769) (378),0
Clear goals make hard work easier. (472) (651) (800) (934) (564),0
"Focus on progress, not perfection. (139) (474) (752) (161)",0
"Focus on progress, not perfection. (608) (515)",0
Learning never exhausts the mind. (469) (25),0
Dreams work only when you do. (996) (817),0
Dreams work only when you do. (996) (92),0
Consistency is more important than short bursts of motivation. (78) (806) (562) (855),0
Hard work creates opportunities that luck cannot. (410),0
"Focus on progress, not perfection. (139) (206) (991)",0
"Greatness is trained daily, not born overnight. (990) (848) (186) (519)",0
Patience and effort build real success. (184) (224),0
Consistency is more important than short bursts of motivation. (635) (878) (964) (330) (12),0
Action turns ideas into reality. (364) (429) (542) (13) (819),0
Dreams work only when you do. (996) (480) (93) (217),0
Consistency is more important than short bursts of motivation. (485) (469),0
Learning never exhausts the mind. (469) (25) (208),0
Consistency is more important than short bursts of motivation. (635) (375) (180),0
Clear goals make hard work easier. (472) (651) (827) (136) (886),0
Action turns ideas into reality. (364) (951) (562) (627),0
Action turns ideas into reality. (364) (476) (912),0
Patience and effort build real success. (184) (254),0
Learning never exhausts the mind. (478) (66) (698),0
"Focus on progress, not perfection. (139) (206) (991) (814)",0
"Focus on progress, not perfection. (139) (474) (752) (94)",0
Hard work creates opportunities that luck cannot. (835) (55),0
"Focus on progress, not perfection. (139) (813) (157)",0
Clear goals make hard work easier. (472) (651) (827) (593),0
Success is built on invisible effort. (878),0
Patience and effort build real success. (184) (224) (41),0
"Focus on progress, not perfection. (139) (206) (991) (441)",0
Consistency is more important than short bursts of motivation. (635) (878) (964) (330) (12) (194),0
Dreams work only when you do. (996) (887) (597),0
Success is built on invisible effort. (878) (656),0
"Greatness is trained daily, not born overnight. (814) (329) (767) (469)",0
Learning never exhausts the mind. (478) (66) (281) (457),0
Action turns ideas into reality. (364) (972),0
"Greatness is trained daily, not born overnight. (814) (223) (936)",0
Action turns ideas into reality. (364) (429) (542) (669),0
Patience and effort build real success. (399),0
Consistency is more important than short bursts of motivation. (430) (327),0
Learning never exhausts the mind. (880) (932) (554),0
Clear goals make hard work easier. (346) (682) (804),0
Clear goals make hard work easier. (472) (651) (800) (934) (399),0
Learning never exhausts the mind. (643) (353),0
"Focus on progress, not perfection. (945) (565) (799)",0
"Focus on progress, not perfection. (139) (813) (157) (466)",0
Action turns ideas into reality. (364) (429) (542) (151),0
Learning never exhausts the mind. (478) (66) (980),0
Consistency is more important than short bursts of motivation. (430) (547),0
Consistency is more important than short bursts of motivation. (635) (878) (696),0
Action turns ideas into reality. (364) (429) (542) (13) (554) (902),0
Consistency is more important than short bursts of motivation. (78) (556),0
Small progress every day leads to big results. (271),0
Success is built on invisible effort. (332),0
"Focus on progress, not perfection. (608) (515) (841)",0
"Focus on progress, not perfection. (139) (813) (749) (606)",0
Action turns ideas into reality. (364) (429) (542) (13) (920),0
Learning never exhausts the mind. (996),0
Hard work creates opportunities that luck cannot. (835) (409),0
Learning never exhausts the mind. (880) (728) (250),0
Clear goals make hard work easier. (346) (949),0
Consistency is more important than short bursts of motivation. (78) (806) (96) (47) (117),0
"Greatness is trained daily, not born overnight. (646)",0
"Focus on progress, not perfection. (945) (565) (799) (398)",0
Great ideas come from deep focus and persistence. (310),0
Small progress every day leads to big results. (508),0
Discipline always beats motivation in the long run. (35),0
Patience and effort build real success. (399) (74),0
Dreams work only when you do. (996) (887) (114) (333),0
Consistency is more important than short bursts of motivation. (78) (806) (96) (73) (914),0
Let’s always remember this as my final tweet #ye24 https://t.co/ORzB5tdINd,1
Let’s break one last window before we get outa here I caught this guy with Kim Good night https://t.co/1rqdJ5szrj,1
RT @PopBase: Kanye West promotes his 2024 Presidential campaign with symbol that seems to be a swastika inside the Star of David. https://t…,1
RT @basil_bobby: the clues were there all along https://t.co/5Pgzjp0Zk,1
Well everyone We had a nice run Jesus is King https://t.co/IbHhKIubOF,1
Never turn our backs Demna and the Balenciaga family for life Cancel cancel culture Jesus please heal https://t.co/GWmXL7Jry,1
I stand by Balenciaga and denounce all witch hunts and I cancel cancel culture Jesus is King Ending trafficking doesn’t start or end with a fashion campaign for Christ Sake https://t.co/Qb0VGHC1A4,1
He’s done miracles on me https://t.co/D304MDXP4K,1
The use of Porn destroyed my family but Jesus will heal everythin,1
Remove any and all forms of pornography from Twitter and every platform Pornography is the product of pediphilia When grown men look at porn they are watching someone’s daughter relive trauma for money,1
God loves Balenciaga Love is the answer Jesus is the answer Praying for all of the innocent artist and beautiful humans who make clothing that had nothing to do with the adds Peoples grandmothers work their for Christ sak,1
What is it about Miami that makes me feel like Scarface Pluto call it Skiami #YE24 The war is over Time to Love #LOVESPEECH,1
Waves #YE24 https://t.co/AN6RwOPYac,1
RT @ye4us: @WORLDSTAR @kanyewest Presidential Posturing #YE24 https://t.co/rNcA15dgW,1
RT @WORLDSTAR: #KanyeWest praying for world peace! 👀💯🙏 @kanyewest https://t.co/Oi3dBvnSmI,1
"RT @KeenerMB: Whether you took something away from the Alex Jones, Kanye West, Ali Alexander, Nick Fuentes, Laura Loomer mash up—or you tho…",1
REBORN YE24 https://t.co/Hv9cW8P0NY,1
"RT @courrielche: Opinion: What Ye did today was the Christian version of what many punks did in the 80s. ""Fuck your villains!"" A rebellion…",1
YE24 LOVE EVERYONE #LOVESPEECH https://t.co/PSJ47gJGh3,1
YE24 https://t.co/JQGsbr5Ny,1
RT @MajestyRia: Uh Oh! Alex Jones on Kyrie & Black Jews https://t.co/IdTibC8kBE,1
"RT @MajestyRia: Ye said he love everybody, even Nazi’s bc they invented the microphones he use. He said he love everybody even the surgeon…",1
RT @CelticsGRD: Jaylen Brown on playing in front of the Prince and Princess: https://t.co/iyzc8yM5,1
RT @Iightworks: he had alex jones stress laughing you know how crazy that is https://t.co/nx8M4hzE5v,1
"A PRAYER FOR WORLD PEACE
Dear God, thank You for all creation. In the spirit of Jesus of Nazareth and all teachers of peace who inspire the many faith traditions, help me, and all the people of the world, learn how to replace hate, war, oppression, and division with love https://t.co/xJL4yylDQ",1
RT @dondatimes: Kanye is on InfoWars with a Holy Bible in his hand https://t.co/Eh2lPvnsf1,1
https://t.co/CaIui6yzh7,1
RT @LegendaryEnergy: Stalin & Hitler were both Time Magazine Man of the Year. Alyssa Milano switched from a Tesla to a car founded by Nazis…,1
RT @LegendaryEnergy: Well that wraps up the craziest interview in modern history. Download it. Save it. That’s a free man walking. The most…,1
"RT @JustMattBentley: Kanye only has about 50,000 chances left and then I’m don",1
"RT @LegendaryEnergy: Ye said he loves everyone & everyone can be healed.
“I love Jewish people. But I also love Nazis.” This is going to b…",1
Praise God https://t.co/WOqoc6fWyK,1
Jesus is King https://t.co/DWZySRI9VG,1
"INVESTIGATE THE CIVIL RIGHTS AND DUE PROCESS VIOLATIONS OF THE J6 POLITICAL PRISONERS
Why were the only people killed unarmed protestors that day?
FREE ALEX
FREE NICHOLAS
FREE SPEECH
FREE @ALI",1
"Christ is King — America First, GROYPER! - NJF
Check us out
https://t.co/D0XV0kG871
https://t.co/6bXActvFMe
https://t.co/O15RIXBjDF",1
I love the first amendment! Long live Ye! I pray to Jesus that Elon is for real…,1
"RT @pulte: Every human being should have the right to food, water, shelter, medicine, education, and freedom!",1
RT @elonmusk: What’s going on here @tim_cook?,1
RT @kanyewest: https://t.co/LJvIF7iQgm https://t.co/u1xYHYzeLH,1
RT @MarcACaputo: Some in Trump World want his 2016 senior adviser Karen Giorno put on a “block list” keeping her from all his properties af…,1
"As much as Ben and I disagree I pray he joins me in saving our country
You know what they say
love your enema …. I mean …. uuuugh
Spelling’s not my core competency when I’m sleepy
If Nick keeps tweeting from my account the only platform I’ll have left is Truth Socia",1
"RT @AlexDwyerKS: DailyWire tries to own Ye by admitting they sell all their subscriber data to whoever will pay for it.
Good to know your…",1
"RT @AlexDwyerKS: DailyWire tries to own Ye by admitting they sell all their subscriber data to whoever will pay for it.
Good to know your…",1
"Shapiro starvingly accepts $100,000 from one of my opponents then tries to trash me https://t.co/Bgzoqp19X",1
"RT @DiedSuddenly_: Music mogul Jonathan ""Hovain"" Hylton #diedsuddenly at his home after thanksgiving with his family. He was a household na…",1
"RT @RealDSchmidt: This is incredible. God has stepped in.
Ye is the only figure who can out-influence Trump and get him to address the iss…",1
RT @Phil_Lewis_: JPMorgan Chase and Deutsche Bank have been accused of profiting from and facilitating the sexual abuse of young women and…,1
#YE24 https://t.co/OR60id12oS,1
https://t.co/LJvIF7iQgm https://t.co/u1xYHYzeLH,1
RT @CassandraRules: I don’t think anyone has any idea how popular this man is. https://t.co/4OyHjiFUk,1
#YE24 https://t.co/RIcpo3bYlX,1
#YE24 https://t.co/IvLlvnr1RR,1
RT @DarrenJBeattie: Kanye showing love to the J6 prisoners,1
#YE24 https://t.co/zLPDNghQKD,1
#YE24 https://t.co/LuZ2YfncS,1
#YE24 https://t.co/DyIhMU5By6,1
"First time at Mar-a-Lago
Rain and traffic
Can’t believe I kept President Trump waiting
And I had on jeans Yikes
What you guys think his response was when I asked him to be my running mate in 2024?",1
Shalom : ),1
Testing Testing Seeing if my Twitter is unblocked,1
This is what’s happening? https://t.co/qkN8N2JQB0,1
I'm starting to think anti Semitic means nigger https://t.co/84CpDm9gvJ,1
Enough already I done gave this man his flowers multiple times Let’s really see who are real ops are in this music game Imagine all the rappers on the same side and everyone cleaning up each others contracts It’s kingdom time Love Drake #lovespeech https://t.co/egWA2VyV9Y,1
I’m a bit sleepy but tomorrow…. : ))) I promise it will be allll love speech guys I promise https://t.co/sHn1O2YK8v,1
Since Lex asked me to be specific… this is a hero of mine David Simon He’s never done anything wrong to me and neither has Jamie I know this is random to post while I’m at war But I have to say I love David Simon Now let’s move on to Scooter ….. https://t.co/HpXerr0eRk,1
"Jamie then said he’s actually got the 51 percent on both those deals
We as the creators and talent get so caught up in our vanity that we don’t read or understand the fine print
Like Dave Chapelle said, we need to stop giving up control over our own names and our likeness https://t.co/7eAkBn6goE",1
"Shaq is in business with Jamie Salter
Jaimie first said he’s 50/50 with David Beckham and 50/50 with Shaq
I said “Jamie . . . There’s no such thing as 50/50 in business . . . Who has the extra 1 percent for the control and voting rights” https://t.co/M36WhsMFf1",1
They make us attack each other Even our brothers who know who we truly are https://t.co/iCC2KQRpY,1
They make us bully ourselves because of our business alignments https://t.co/NG5c0V1Wa8,1
This in not hate We are love God is love https://t.co/gjdSuQ9IC,1
This shows Harley admitting to knowing the truth of our origin but then later dismissing the facts within the same text chain Mind you This is how a Hollywood trainer speaks to a far more influential black celebrity when we get out of line https://t.co/iywzCiAViJ,1
"I was told that if I expose the truth of the bad business practices everything is gonna be taken from me Including my black children
And everyone has bore whiteness to the public Emmett Tilling of Ye
But GOD has put something on my heart not to backdown https://t.co/HiKnVuAOls",1
"I was told that is I expose the truth of the bad business practices everything is gonna be taken from me Including my black children
And everyone has bore whiteness to the public Emit Tilling or Ye
But GOD has put something on my heart not to backdown https://t.co/umrLRLIdNO",1
"What should be obvious by now is that I was raised to stand for my truth regardless of the consequences
So I will say this again I was mentally misdiagnosed and nearly drugged out of my mind to make me a manageable well behaved celebrity https://t.co/3kRuxoLcts",1
You can’t be anti-Semite when you know you are Semite https://t.co/9EAwXjsURa,1
I’m not talking to nooobody for a month https://t.co/g1JYFmCGE,1
"JOHN 19:19
""And Pilate wrote a title, and put it on the cross. And the writing was,
JESUS OF
NAZARETH THE KING OF THE JEWS"" https://t.co/tE72MBaIy",1
FAMILY https://t.co/r8UforaZB,1
LOVE FOREVER https://t.co/bh0lLsqt9,1
https://t.co/C5RcILyULG,1
Iranian youth are leading a revolution against 44 years of dictatorship. The world needs to support them and honor their coura,1
Who you think created cancel culture?,1
I’m a bit sleepy tonight but when I wake up I’m going death con 3 On JEWISH PEOPLE The funny thing is I actually can’t be Anti Semitic because black people are actually Jew also You guys have toyed with me and tried to black ball anyone whoever opposes your agenda https://t.co/0xka0D5k50,1
https://t.co/u3aDXus8S,1
"RT @elonmusk: @kanyewest Welcome back to Twitter, my friend!",1
"Look at this Mark
How you gone kick me off instagram
You used to be my nigga https://t.co/YQzjw01ju",1
2024 https://t.co/CJsmMGhExW,1
I’m on spaces! https://t.co/vdlvAQ8PCs,1
KANYE 2024 https://t.co/Zm2pKcn12,1
I VOTED 🇺🇸 https://t.co/hlgIJUST4x,1
KANYE2020 🇺🇸 https://t.co/3kd8vrrHZQ,1
🕊 https://t.co/tFqpKyQzkY,1
The first vote of my life We are here to serve We pray for every servant leader in the world 🕊 https://t.co/UWSrKslCt1,1
KEEP BELIEVING KANYE 2020 Thank you Jesus Christ https://t.co/OgFDGOCAOp,1
Favs https://t.co/0oO13dEviF,1
We will heal. We will cu,1
"God is so good 😊 Today I am voting for the first time in my life for the President of the United States, and it's f… https://t.co/RDmZihHIf",1
I channel Will Ferrel when I’m at the daddy daughter dances,1
Life is the ultimate gif,1
So many of us need so much less than we have especially when so many of us are in need,1
I hear people say ... this person is cool and this person is not cool... people are cool... man has never invented… https://t.co/HGvnOxW4n,1
I was just speaking with someone that told me their life story and they used to be homeless We must and will c… https://t.co/sjLvlpHqgS,1
We as a people will heal. We will insure the well being of each oth,1
There are people sleeping in parking lots,1
We will cure hun,1
The Weekend as The Nutty Professor was hands down the best costume this Halloween ⛷ https://t.co/6he1adovRY,1
Praise God. Thank you so much #DoveAwards God continues to send encouragement Good is winning Things are changing Praise God https://t.co/OYU12hBWX8,1
How it’s going 🇺🇸 https://t.co/ayol8Sf0OR,1
How the day started 🙃 https://t.co/UyQUWqd2m,1
THE ROCK IS STILL ALIVE https://t.co/gvChkbcsQj,1
RT @SheckJesus: New Sheck Wes snippet titled ‘RICH ONEDAY’ https://t.co/YLgCYWZVIu,1
2020 VISION 🇺🇸 https://t.co/Usl1fppN4,1
Dear Future started as an op-ed and turned into a VISION PRAYER 🕊 https://t.co/hN8Zhz5EUp,1
2020 VISION https://t.co/VqFgFyZ3XD,1
"DEAR FUTURE, I STILL BELIEVE IN YOU PRINTED IN THE NEW YORK TIMES THIS MORNING https://t.co/3hGgcjHzRE https://t.co/7tlMR2wa0q",1
https://t.co/3hGgcjHzRE https://t.co/l1BJySj4TK,1
https://t.co/3hGgcjHzRE https://t.co/gFouWM6Ur0,1
EMPATHY IS THE GLUE,1
NAH NAH NAH REMIX DABABY & 2CHAINZ https://t.co/I0gaZJ0ft7,1
"DEAR FUTURE, I STILL BELIEVE IN YOU YEEZY CHRISTIAN ACADEMY https://t.co/GIlTHSCLJU",1
We will heal https://t.co/pliy0PJQ9j,1
EVERYDAY JOEL’S NEW SERMONS ARE SUPER UPLIFTING AND INSPIRING PRAISE GOD FOR THE MOTIVATION JESUS STAYS WINNING https://t.co/gitP0B2MJA,1
Halloween coming 💀 https://t.co/4JaQA5YfYn,1
🤔 I was at 31 million followers 4 weeks ago and now I’ve been held at 30.9 million followers for the last 4 weeks 🤔🤔🤔 https://t.co/AV51hzh8bn,1
"Just to be CLEAR: WE ARE IN ENGAGED WITH HAITI’s GOVERNMENT to make a transformational INVESTMENT to bring JOBS, DEVELOPMENT, HELP SUPPORT LOCAL FARMERS and FISHERMEN and Build a new « CITY OF THE FUTURE » in a very beautiful country",1
Wow 😳 that Rogan interview got em shook Let’s gooooooooo https://t.co/Mxo24Iaa2n,1
Some Monday morning joy at YEEZY CHRISTIAN ACADEMY https://t.co/W23fMAazaS,1
https://t.co/rqKBrfNCME,1
https://t.co/rqKBrfNCME Let’s ,1
WRITE IN KANYE WEST THERE IT IS https://t.co/HiJPrUIY9,1
HOW TO WRITE IN KANYE WEST https://t.co/lY4BVdTmdm,1
GOD IS LOVE LEADING WITH LIGHT https://t.co/TlwzNXRTkL https://t.co/gWMLYLLiE1,1
Been doing empty stadiums Happy 40th birthday!!! I love you so much https://t.co/dCgHhzP2J8,1
VOTE KANYE https://t.co/sXrotfOHE3,1
OUR BEAUTIFUL LIGHT CLEAR REALITY https://t.co/L0TCuSoSr4,1
DABABY TURNED THIS VERSE AROUND SO QUICK ITS INSPIRATIONAL TO SEE HOW FAST WE CAN MOVE AS A PEOPLE. I HAD TO GIVE YALL AT LEAST A SNIPPET. https://t.co/Ap1SNAmFNK,1
DABABY TURNED THIS VERSE AROUND SO QUICK ITS INSPIRATIONAL TO SEE HOW FAST WE CAN MOVE AS A PEOPLE. I HAD TO GIVE YALL AT LEAST A SNIPPET. WHAT YOU THIS ISSA RAE A THINK ABOUT THIS ONE 🤔 https://t.co/zqA9td46ZO,1
RT @Maha_Sattva: If you believe in me and think that @kanyewest should let me give him this painting; please retweet this. I am 100% determ…,1
Had to tweet the new ideas 🙈 https://t.co/rO5eyNt9wp,1
Food tasting at YCA new menu going yaezeeeeeeeer https://t.co/qI3tfzjMwJ,1
GOD SAVE AMERICA https://t.co/1zDEZA3GhO,1
